Transaction ID,Customer ID,Gender,Age,Product Category,Quantity,Price per Unit,Total Amount,Month,Day of Week,Demand Elasticity,Competitor Pricing
1,CUST001,Male,34,0,3,50,150,11,4,1.0618101782710436,43.70265857677239
2,CUST002,Female,26,1,2,500,1000,2,0,1.9260714596148742,508.38018947567167
3,CUST003,Male,50,2,1,30,30,1,4,1.5979909127171077,34.4753500305169
4,CUST004,Male,37,1,1,500,500,5,6,1.397987726295555,546.4449772819122
5,CUST005,Male,30,0,2,50,100,5,5,0.7340279606636548,56.131222957228985
6,CUST006,Female,45,0,1,30,30,4,1,0.7339917805043039,31.90540040052861
7,CUST007,Male,46,1,2,25,50,3,0,0.5871254182522991,26.922765645178526
8,CUST008,Male,30,2,4,25,100,2,2,1.7992642186624028,28.491956515653193
9,CUST009,Male,63,2,2,300,600,12,2,1.4016725176148133,269.9601610631023
10,CUST010,Female,52,1,4,50,200,10,5,1.5621088666940683,49.78849927286281
11,CUST011,Male,23,1,2,50,100,2,1,0.5308767414437037,44.42418883639205
12,CUST012,Male,35,0,3,25,75,10,0,1.9548647782429915,29.876680079966466
13,CUST013,Male,22,2,3,500,1500,8,5,1.7486639612006325,588.8118679373226
14,CUST014,Male,64,1,4,30,120,1,1,0.8185086660174142,24.473121736422073
15,CUST015,Female,42,2,4,500,2000,1,0,0.7727374508106509,541.1150345031377
16,CUST016,Male,19,1,3,500,1500,2,4,0.7751067647801507,585.0496634831331
17,CUST017,Female,27,1,4,25,100,4,5,0.9563633644393066,21.805753451273336
18,CUST018,Female,47,2,2,25,50,4,6,1.2871346474483567,25.679452305526297
19,CUST019,Female,62,1,2,25,50,9,5,1.1479175279631737,29.15488297588042
20,CUST020,Male,22,1,3,300,900,11,6,0.9368437102970628,244.07351743029585
21,CUST021,Female,50,0,1,500,500,1,5,1.4177793420835691,539.484053449368
22,CUST022,Male,18,1,2,50,100,10,6,0.7092407909780627,45.946980147451015
23,CUST023,Female,35,1,4,30,120,4,2,0.9382169728028272,35.09275434451836
24,CUST024,Female,49,1,1,300,300,11,2,1.0495427649405376,356.52698941984414
25,CUST025,Female,64,0,1,50,50,12,1,1.1841049763255538,58.885329782268684
26,CUST026,Female,28,2,2,500,1000,10,5,1.6777639420895203,494.84284333149276
27,CUST027,Female,38,0,2,25,50,8,3,0.7995106732375397,28.620426509893132
28,CUST028,Female,43,0,1,500,500,4,6,1.2713516576204174,568.909879707014
29,CUST029,Female,42,2,1,30,30,8,4,1.3886218532930636,27.82920567891907
30,CUST030,Female,39,0,3,300,900,10,6,0.5696756190799965,339.4698568980813
31,CUST031,Male,44,2,4,300,1200,5,1,1.4113172778521577,244.44091616585914
32,CUST032,Male,30,0,3,30,90,1,2,0.7557861855309373,31.155238541784637
33,CUST033,Female,50,2,2,50,100,3,3,0.5975773894779193,44.60017674575406
34,CUST034,Female,51,1,3,50,150,12,6,1.92332830588,42.41133771554558
35,CUST035,Female,58,0,3,300,900,8,5,1.948448049611839,249.2343841955051
36,CUST036,Male,52,0,3,300,900,6,5,1.7125960221746916,323.55465310537676
